1,Si,Si,Si,2,Si,Si,Si,Opcion 3
2,Si,No,No,2,Si,Si,Si,Opcion 1
3,Si,No,Si,1,Si,Si,Si,Opcion 3
4,Si,No,Si,1,Si,Si,Si,Opcion 3
5,Si,No,No,2,Si,Si,Si,Opcion 3
6,No,Si,No,3,Si,Si,Si,Opcion 2
7,Si,No,Si,2,Si,Si,Si,Opcion 1
8,Si,Si,No,4,Si,Si,Si,Opcion 1
9,Si,No,No,2,Si,No,Si,Opcion 3
10,Si,Si,Si,3,Si,No,Si,Opcion 3
11,Si,Si,Si,3,Si,Si,Si,Opcion 5
12,No,No,No,3,Si,Si,Si,Opcion 1
13,No,No,No,4,Si,Si,Si,Opcion 1
14,No,No,No,1,Si,Si,Si,Opcion 3
15,Si,No,No,2,Si,Si,Si,Opcion 3
16,No,No,No,1,Si,Si,Si,Opcion 1
17,Si,Si,No,2,Si,Si,Si,Opcion 3
18,No,Si,Si,3,Si,Si,No,Opcion 4
19,Si,Si,No,2,Si,Si,Si,Opcion 3
20,No,No,Si,5,Si,Si,Si,Opcion 1
21,Si,Si,No,2,Si,Si,Si,Opcion 3
22,Si,No,No,3,Si,Si,Si,Opcion 2
23,Si,No,No,1,Si,Si,Si,Opcion 2
24,No,Si,Si,2,Si,Si,Si,Opcion 3
25,Si,Si,Si,2,Si,Si,Si,Opcion 5
26,No,Si,Si,3,Si,No,Si,Opcion 1
27,Si,Si,Si,2,Si,Si,Si,Opcion 4
28,Si,Si,Si,2,Si,Si,Si,Opcion 3
29,Si,No,Si,2,Si,Si,Si,Opcion 3
30,Si,No,No,2,Si,Si,Si,Opcion 4
31,Si,No,Si,2,Si,No,Si,Opcion 4
32,Si,No,No,1,Si,Si,Si,Opcion 3
33,Si,No,Si,1,Si,Si,Si,Opcion 4
34,Si,No,Si,3,Si,Si,Si,Opcion 2
35,Si,Si,Si,2,Si,No,Si,Opcion 6
36,Si,No,Si,2,Si,Si,Si,Opcion 3
37,Si,No,Si,2,Si,Si,Si,Opcion 4
38,No,No,No,3,Si,Si,Si,Opcion 3
39,Si,No,No,2,Si,Si,Si,Opcion 3
40,Si,No,Si,2,Si,Si,Si,Opcion 4
41,Si,No,Si,2,Si,No,No,Opcion 4
42,Si,No,Si,2,Si,No,Si,Opcion 4
43,Si,No,No,3,Si,Si,Si,Opcion 4
44,Si,No,Si,2,Si,Si,Si,Opcion 4
45,Si,No,Si,3,Si,Si,Si,Opcion 4
46,Si,Si,Si,1,Si,Si,Si,Opcion 3
47,Si,No,No,2,Si,Si,Si,Opcion 4
48,Si,No,No,3,Si,No,No,Opcion 4
49,Si,No,Si,2,Si,Si,Si,Opcion 4
50,Si,No,Si,2,Si,Si,Si,Opcion 4
51,Si,No,Si,2,Si,Si,Si,Opcion 3
52,Si,Si,Si,3,Si,No,No,Opcion 4
53,Si,No,Si,2,Si,Si,Si,Opcion 4
54,Si,No,Si,2,Si,Si,Si,Opcion 4
55,Si,No,No,2,Si,Si,Si,Opcion 4
